ts	phase	decision	why	evidence	result
2026-09-23T09:06:11Z	output	stripped the 75 :ores.ts.web.enabled: keys from the model files	a key naming a facet that no longer exists is silently ignored, so nothing would ever complain about it	commit 3a40c9c57e	11 in ores.iam and 64 in ores.refdata, as counted
2026-09-23T09:06:11Z	decide	deleted the BFF entity-route factory and its registry rather than keeping them as reusable transport	they build the canonical list/get/save/delete/history envelopes that journeys supersede, and they have no caller left; the general path is sessions.ts plus client.callAuthenticated	packages/bff/src/entity-routes.ts, entity-route-registry.ts	deliberate; recoverable from git if journey work wants it
2026-09-23T09:06:11Z	decide	removed ores.ts.ui as well as ores.ts.web	the journey story calls the column and field metadata reusable building material, but the instruction is to keep only what talks to the server, and that metadata is presentation	doc/agile/versions/v0/sprint_25/web_iam_journeys/story.org	reversal recorded on task 33010766
2026-09-23T09:06:11Z	decide	left the ** Presentation drawer in the entity models	the C++ presentation facets still read it, and removing it belongs to the Qt retirement	core.py compute_view_groups, has_as_of_combo_fields	out of scope, noted in the PR
2026-09-23T09:06:11Z	gate	ran the protocol twin coverage gate	it guards the facet being kept, so it is the check that proves the keep side is intact	python3 scripts/check_protocol_twin_coverage.py	intact: 20 headers, 1 committed component
2026-09-23T09:09:53Z	client	deleted the entity framework, the navigation registry, the four pages, the change-event consumer and the UI primitives, and kept api/, session/, i18n/, assets/ and styles.css	the rule for every file was whether its job is to talk to the server or to render a screen	commit e47043269f	typecheck clean, 70 tests pass, vite bundles 246 modules
2026-09-23T09:09:53Z	client	deleted the BFF entity-route factory and its registry with the descriptors they read	they build the canonical list, get, save, delete and history envelopes that journeys replace, and had no caller left	commit e47043269f	deliberate and reversible from git
2026-09-23T09:09:53Z	client	coalesced the i18n exemption away: catalogueSchema lost its second parameter and mergeCatalogues went	the generated entity words were the only reason either existed	packages/web/src/i18n/translate.ts	the catalogue test was rewritten and passes
2026-09-23T09:09:53Z	client	removed @tanstack/react-table and playwright, which lost their last consumers	both were declared and unimported once the table and the browser verifier were deleted	commit e47043269f	lockfile refreshed offline so npm ci stays in sync
2026-09-23T09:09:53Z	verify	re-ran typecheck, tests and the production build myself rather than trusting the delegate summary	a delegate report is not evidence	npm run typecheck, npm test, npm run build in projects/ores.web	all exit 0; 70 tests; 246 modules bundled
2026-09-23T09:09:53Z	docs	stripped the removed layer from 109 identical model descriptions	the delegate found them and left them as outside its list; one string across every entity model	projects/*/modeling/*.org	grep count 109 to 0
2026-09-23T09:09:53Z	docs	corrected the brief that named ores.ts.domain as a UI reference	the delegate checked the file and found line 85 is the domain facet, which is kept	projects/modeling/variability_table_less_record.org	no change made, correctly
2026-09-23T09:09:53Z	verify	ran the seven doc-lint gate scripts after the docs sweep	the doc-lint job runs on every pull request and the deployed skills come from the org sources	build/scripts/*.py --check	all seven pass
2026-09-23T09:09:53Z	verify	ran the template tangle and diffed the templates directory	deleting an org page and its tangle artefact apart fails this gate, so it proves the pair went together	emacs -Q --script projects/ores.lisp/src/ores-build-codegen-templates.el	177 facets tangled, empty diff
2026-09-23T09:13:12Z	verify	ran the login verifier against the live server rather than a mock	the transport core is the thing that had to survive, so only the real path proves it	npm run verify:login	mTLS handshake, a schema-checked refusal and a full login all pass
2026-09-23T09:13:12Z	verify	attributed the accounts.list failure before dismissing it	a red result is not evidence of nothing until it is traced	git diff --stat origin/main..HEAD -- packages/wire-protocol scripts/verify-login.ts	empty, so the protocol, the client and the verifier are untouched
2026-09-23T09:13:12Z	verify	fixed the seed fixture with the script own AUDIT_ACCOUNT override instead of a workaround	the default auditor sysadmin does not exist in the restored database, and the script documents the override	AUDIT_ACCOUNT=adrian.vance npm run seed:account	seeded ores_web_probe, login then passes
2026-09-23T09:13:12Z	verify	filed a capture for the accounts.list rejection	the finding is real, reproducible and outside this change, so it must not be lost	doc/agile/product_backlog/inbox/accounts_list_rejects_a_valid_session.org	captured
2026-09-23T09:16:24Z	verify	ran the comment review myself after stopping the review agent	it ran far past the cost of a read-only scan of one diff, and the comment surface is small because the change is mostly deletion	git diff origin/main..HEAD, added comment lines	no suppressions, no commented-out code, no stale reference in retained code
2026-09-23T09:16:24Z	verify	deleted one added comment that restated its function name	the no-comments rule keeps a comment only for a why the code cannot show, and the paragraph after it carried the why	commit 4e0e7a015f	typecheck and 70 tests still pass
2026-09-23T09:19:21Z	correct	the inventory regenerator path in an earlier row is wrong	a reviewer checked it against the tree and the file is under projects/ores.codegen/scripts/, not scripts/	git ls-files projects/ores.codegen/scripts/regenerate_physical_space_inventories.py	corrected here; the earlier row stands as written
2026-09-23T09:19:21Z	evidence	proved the 247 deleted files were codegen output and not hand-written	a reviewer asked what rules this out for the 192 files outside the drift gate cover	git grep -l "AUTO-GENERATED FILE - DO NOT EDIT MANUALLY" origin/main -- projects/ores.web/packages/web/src/generated projects/ores.web/packages/bff/src/generated | wc -l	247 of 247 carry the marker and a Template line: 97 ts_ui, 75 ts_web_declaration, 75 ts_bff_route
2026-09-23T09:19:21Z	verify	clarified the live login result: the login passes and the run then stops at accounts.list	an earlier row said a full login passes without saying the script aborts after it, which reads as a clean run	npm run verify:login	four checks pass, then iam.v1.accounts.list answers bad_request; filed as a capture
2026-09-23T09:19:21Z	verify	recorded what the drift gate covers and what it does not	an earlier row leans on the gate for a deletion of 247 files while the gate covers the iam component only	projects/ores.codegen/scripts/component_registry.py COMPONENTS_UNDER_TEST	192 of the 247 are outside it; the marker check above proves those, not the gate
2026-09-23T09:19:21Z	docs	named the normative documentation edit an earlier row did not name	the layer sweep changed entity_lifecycle.org from six mandatory layers to five, which changes what the entity-creator skills must produce	projects/modeling/entity_lifecycle.org	correct, because the layer no longer exists; logged here because the trail hid it
2026-09-23T09:19:21Z	correct	separated two edits an earlier row conflated	the row said the Qt retirement is out of scope while the branch edits a Qt-named codegen page	projects/ores.codegen/modeling/entity_meta_model_cpp_qt.org	the edit retargets two inbound id links so compass lint passes; the presentation drawer is untouched
2026-09-23T09:19:21Z	correct	noted that the ts column is when a row was written, not when the work happened	rows were appended in batches, so several share a timestamp and the order alone does not date the work	.audit/retire-ts-ui-codegen.tsv	the commit timestamps date the work; the log dates the logging
2026-09-23T09:19:21Z	verify	recorded the CI outcome on the pull request	a reviewer could not reproduce the gates locally, and CI ran them independently	PR 2133 checks	compass lint, typescript, codegen drift, template drift, inventory, model and permissions all pass
2026-09-23T09:19:21Z	verify	left the 536 codegen tests as the author word	CI does not run the codegen pytest suite, which the repository records as a gap	npm run test in projects/ores.web covers TypeScript only; the pytest suite is manual	not independently confirmed
2026-09-23T09:19:21Z	evidence	committed the baseline the unit lever compares against	a reviewer found the baseline sat in .runtime/, which git ignores, so the evidence did not resolve for anyone but the author	.audit/retire-ts-ui-codegen.baseline-units.txt	five units before the change, for country and for tenant
2026-09-23T09:29:22Z	dead	removed the dead modules the client was carrying	the user asked for dead code to go, and two of the files died with this change rather than before it	commit 29ad4a863c	seven modules, 532 lines: connections.ts, wire.ts, hierarchy.ts, entities/index.ts, changeReasons.ts, site.ts, brand.ts
2026-09-23T09:29:22Z	dead	wrote a reachability check instead of working from a list	the first attempt wrongly called utility/protocol.ts and diff/protocol.ts dead because it excluded generated modules, which the package exports by subpath and consumers import	a script resolving imports from each package entry point plus every generated module	utility/protocol.ts and diff/protocol.ts have 107 importers each and stay; the rest of the client is now reachable from its entries
2026-09-23T09:29:22Z	dead	deleted the two brand images with the pages that carried them	nothing renders them, no manifest or stylesheet names them, and index.html declares no favicon	packages/web/src/assets/README.md	the icon SVG set stays, because icon_reference.org lists it as the vocabulary journey screens draw on
2026-09-23T09:29:22Z	dead	declared zod in the two packages that import it	both imported it and neither declared it, so it resolved only through the root hoist and a strict install would break	packages/web/package.json, packages/bff/package.json	pinned to 4.6.5, the version the other two packages declare
2026-09-23T09:29:22Z	dead	dropped the contracts dependency from the web package	the module that imported it was one of the dead ones	packages/web/package.json	lockfile refreshed offline; typecheck, 70 tests and the build all pass
2026-09-23T09:29:22Z	dead	fixed the one document that listed the deleted modules	the rewritten component specification still described four api modules and two route clients that are gone	projects/ores.web/modeling/component_specification.org	it now lists transport.ts and client.ts and says the routes without a caller are still served
2026-09-23T09:33:12Z	ci	wired the codegen suite into CI as a new job in codegen-drift.yml	the 536 tests ran only when somebody remembered, so nothing checked that the generator, the loader and the check scripts still behave; a gate that stops finding anything passes every tree	.github/workflows/codegen-drift.yml, job tests	Linux only, because every job in that workflow is ubuntu-24.04
2026-09-23T09:33:12Z	ci	ran the suite under Python 3.13 before wiring it in	the local venv is 3.14 and CI pins 3.13, so a 3.14-only construct would have gone red on the pull request	.runtime/ci313/bin/python -m pytest projects/ores.codegen/tests -q	536 passed in 11.25s
2026-09-23T09:33:12Z	ci	left it out of the continuous and nightly matrices	the suite is platform-independent and codegen-drift already covers it on push and on pull requests	codegen-drift.yml on: push and pull_request	no other workflow changed
2026-09-23T09:36:13Z	ci	closed the limitation that the 536 codegen tests were unconfirmed	an earlier row left them as the author word because CI did not run them, and that row is now superseded	PR 2133 check tests, job log line: 536 passed in 17.75s	confirmed on CI Linux with Python 3.13, 53s wall clock
